Country,Plant Name,Latitude,Longitude,Location Accuracy,Plant Type,Within_60_Miles
United States,A. B. Brown power station,37.910539,-87.923058,exact,Coal,False
United States,A. B. Brown power station,37.910539,-87.923058,exact,Coal,False
United States,ACE Cogeneration Facility,35.765543,-117.378214,exact,Coal,False
United States,AES Hawaii Generation Plant,21.303111,-158.10805,exact,Coal,False
United States,AES Hickling power station,42.122556,-76.982417,exact,Coal,False
United States,AES Hickling power station,42.122556,-76.982417,exact,Coal,False
United States,AES Jennison power station,42.276861,-75.479222,exact,Coal,False
United States,AES Jennison power station,42.276861,-75.479222,exact,Coal,False
United States,AES Warrior Run Generation Plant,39.595591,-78.745402,exact,Coal,False
United States,AES Westover power station,42.1117,-75.9747,exact,Coal,False
United States,AES Westover power station,42.111389,-75.974111,exact,Coal,False
United States,Albright power station,39.486694,-79.637389,exact,Coal,False
United States,Albright power station,39.486694,-79.637389,exact,Coal,False
United States,Albright power station,39.486694,-79.637389,exact,Coal,False
United States,Alma Station,44.302335,-91.912644,exact,Coal,False
United States,Alma Station,44.302335,-91.912644,exact,Coal,False
United States,Altavista Power Station,37.118481,-79.273027,exact,Coal,False
United States,Amos Plant,38.473717,-81.824919,exact,Coal,False
United States,Amos Plant,38.473717,-81.824919,exact,Coal,False
United States,Amos Plant,38.473717,-81.824919,exact,Coal,False
United States,Antelope Valley Station,47.370558,-101.835772,exact,Coal,False
United States,Antelope Valley Station,47.370558,-101.835772,exact,Coal,False
United States,Archer Daniels Midland Cedar Rapids Power Plant,41.924733,-91.686397,exact,Coal,False
United States,Archer Daniels Midland Cedar Rapids Power Plant,41.924733,-91.686397,exact,Coal,False
United States,Archer Daniels Midland Cedar Rapids Power Plant,41.924733,-91.686397,exact,Coal,False
United States,Archer Daniels Midland Cedar Rapids Power Plant,41.924733,-91.686397,exact,Coal,False
United States,Archer Daniels Midland Cedar Rapids Power Plant,41.924733,-91.686397,exact,Coal,False
United States,Archer Daniels Midland Cedar Rapids Power Plant,41.924733,-91.686397,exact,Coal,False
United States,Archer Daniels Midland Clinton Power Plant,41.820939,-90.209494,exact,Coal,False
United States,Archer Daniels Midland Clinton Power Plant,41.820939,-90.209494,exact,Coal,False
United States,Archer Daniels Midland Decatur Power Plant,39.870008,-88.890964,exact,Coal,False
United States,Archer Daniels Midland Decatur Power Plant,39.870008,-88.890964,exact,Coal,False
United States,Archer Daniels Midland Decatur Power Plant,39.870008,-88.890964,exact,Coal,False
United States,Archer Daniels Midland Decatur Power Plant,39.870008,-88.890964,exact,Coal,False
United States,Archer Daniels Midland Decatur Power Plant,39.870008,-88.890964,exact,Coal,False
United States,Archer Daniels Midland Decatur Power Plant,39.870008,-88.890964,exact,Coal,False
United States,Archer Daniels Midland Decatur Power Plant,39.870008,-88.890964,exact,Coal,False
United States,Arkwright power station,32.925024,-83.709956,exact,Coal,False
United States,Arkwright power station,32.925024,-83.709956,exact,Coal,False
United States,Arkwright power station,32.925024,-83.709956,exact,Coal,False
United States,Arkwright power station,32.925024,-83.709956,exact,Coal,False
United States,Asbury Generating Station,37.361319,-94.588667,exact,Coal,False
United States,Asheville Plant,35.470592,-82.543506,exact,Coal,False
United States,Asheville Plant,35.470592,-82.543506,exact,Coal,False
United States,Barry Steam Plant,31.006553,-88.008753,exact,Coal,False
United States,Barry Steam Plant,31.006553,-88.008753,exact,Coal,False
United States,Barry Steam Plant,31.006553,-88.008753,exact,Coal,False
United States,Barry Steam Plant,31.006553,-88.008753,exact,Coal,False
United States,Barry Steam Plant,31.006553,-88.008753,exact,Coal,False
United States,Belews Creek Steam Station,36.2825,-80.058547,exact,Coal,False
United States,Belews Creek Steam Station,36.2825,-80.058547,exact,Coal,False
United States,Ben Hill Plant,31.72206,-83.24966,approximate,Coal,False
United States,Big Brown Steam Electric Station,31.820589,-96.055167,exact,Coal,False
United States,Big Brown Steam Electric Station,31.820589,-96.055167,exact,Coal,False
United States,Big Sandy Plant,38.171133,-82.618458,exact,Coal,False
United States,Big Sandy Plant,38.171133,-82.618458,exact,Coal,False
United States,Big Stone Power Plant,45.304611,-96.511033,exact,Coal,False
United States,Black River Generating Facility,44.036717,-75.771528,exact,Coal,False
United States,Black Stallion Energy Center,37.515025,-83.26432,approximate,Coal,False
United States,Boardman Plant,45.693597,-119.805792,exact,Coal,False
United States,Bonanza power station,40.4542765,-109.5356416,approximate,Coal,False
United States,Bonanza power station,40.0864333,-109.2853528,exact,Coal,False
United States,Boswell Energy Center,47.262089,-93.652997,exact,Coal,False
United States,Boswell Energy Center,47.262089,-93.652997,exact,Coal,False
United States,Boswell Energy Center,47.262089,-93.652997,exact,Coal,False
United States,Boswell Energy Center,47.262089,-93.652997,exact,Coal,False
United States,Brame Energy power station,31.3975528,-92.7189806,exact,Coal,False
United States,Brame Energy power station,31.396889,-92.719078,exact,Coal,False
United States,Burlington Generating Station,40.7412,-91.11667,exact,Coal,False
United States,Cambria Cogeneration Facility,40.473611,-78.70138,exact,Coal,False
United States,Cameo Station,39.148975,-108.318069,exact,Coal,False
United States,Cash Creek Generation,37.8417,-87.586396,approximate,Coal,False
United States,Cayuga Generating Station,39.923308,-87.427381,exact,Coal,False
United States,Cayuga Generating Station,39.923308,-87.427381,exact,Coal,False
United States,Cayuga power station (New York),42.602544,-76.635978,exact,Coal,False
United States,Cayuga power station (New York),42.602544,-76.635978,exact,Coal,False
United States,Centralia Power Plant,46.755925,-122.857217,exact,Coal,False
United States,Centralia Power Plant,46.755925,-122.857217,exact,Coal,False
United States,Chamois power station,38.683782,-91.756869,exact,Coal,False
United States,Charles R. Lowman Power Plant,31.488686,-87.9102,exact,Coal,False
United States,Charles R. Lowman Power Plant,31.488686,-87.9102,exact,Coal,False
United States,Charles R. Lowman Power Plant,31.488686,-87.9102,exact,Coal,False
United States,Cholla Generating Station,34.940914,-110.3004,exact,Coal,False
United States,Cholla Generating Station,34.940914,-110.3004,exact,Coal,False
United States,Cholla Generating Station,34.940914,-110.3004,exact,Coal,False
United States,Cholla Generating Station,34.940914,-110.3004,exact,Coal,False
United States,Clinch River Plant,36.933406,-82.199336,exact,Coal,False
United States,Clinch River Plant,36.933406,-82.199336,exact,Coal,False
United States,Clinch River Plant,36.933406,-82.199336,exact,Coal,False
United States,Clover power station,36.869533,-78.704414,exact,Coal,False
United States,Clover power station,36.869533,-78.704414,exact,Coal,False
United States,Coal Creek Station,47.378511,-101.157033,exact,Coal,False
United States,Coal Creek Station,47.378511,-101.157033,exact,Coal,False
United States,Colbert Fossil Plant,34.744242,-87.848467,exact,Coal,False
United States,Colbert Fossil Plant,34.744242,-87.848467,exact,Coal,False
United States,Colbert Fossil Plant,34.744242,-87.848467,exact,Coal,False
United States,Colbert Fossil Plant,34.744242,-87.848467,exact,Coal,False
United States,Colbert Fossil Plant,34.744242,-87.848467,exact,Coal,False
United States,Coleman Station,37.9625,-86.791667,exact,Coal,False
United States,Coleman Station,37.9625,-86.791667,exact,Coal,False
United States,Coleman Station,37.9625,-86.791667,exact,Coal,False
United States,Coleto Creek expansion,28.829558,-96.975845,approximate,Coal,False
United States,Coleto Creek power station,28.712836,-97.214378,exact,Coal,False
United States,Colstrip Steam Plant,45.882386,-106.612847,exact,Coal,False
United States,Colstrip Steam Plant,45.882386,-106.612847,exact,Coal,False
United States,Colstrip Steam Plant,45.882386,-106.612847,exact,Coal,False
United States,Colstrip Steam Plant,45.882386,-106.612847,exact,Coal,False
United States,Columbus ADM power station,41.432778,-97.358611,approximate,Coal,False
United States,Colver Green Energy power station,40.550458,-78.798928,exact,Coal,False
United States,Conesville Power Plant,40.185456,-81.880075,exact,Coal,False
United States,Conesville Power Plant,40.185456,-81.880075,exact,Coal,False
United States,Conesville Power Plant,40.185456,-81.880075,exact,Coal,False
United States,Conesville Power Plant,40.185456,-81.880075,exact,Coal,False
United States,Conesville Power Plant,40.185456,-81.880075,exact,Coal,False
United States,Conesville Power Plant,40.185456,-81.880075,exact,Coal,False
United States,Cooper power station,36.997728,-84.592175,exact,Coal,False
United States,Cooper power station,36.997728,-84.592175,exact,Coal,False
United States,Corette Plant,45.775175,-108.481322,exact,Coal,False
United States,Coronado Generating Station,34.577847,-109.272511,exact,Coal,False
United States,Coronado Generating Station,34.577847,-109.272511,exact,Coal,False
United States,Coyote Station,47.221236,-101.814883,exact,Coal,False
United States,Craig Station,40.4627,-107.591153,exact,Coal,False
United States,Craig Station,40.4627,-107.591153,exact,Coal,False
United States,Craig Station,40.4627,-107.591153,exact,Coal,False
United States,Crow Nation CFB,45.603246,-107.458564,approximate,Coal,False
United States,Crystal River Energy Complex,28.957031,-82.700583,exact,Coal,False
United States,Crystal River Energy Complex,28.957031,-82.700583,exact,Coal,False
United States,Crystal River Energy Complex,28.957031,-82.700583,exact,Coal,False
United States,Crystal River Energy Complex,28.957031,-82.700583,exact,Coal,False
United States,Dale power station,37.880731,-84.261722,exact,Coal,False
United States,Dale power station,37.880731,-84.261722,exact,Coal,False
United States,Dallman Station,39.754472,-89.603128,exact,Coal,False
United States,Dallman Station,39.754472,-89.603128,exact,Coal,False
United States,Dallman Station,39.754472,-89.603128,exact,Coal,False
United States,Dallman Station,39.754472,-89.603128,exact,Coal,False
United States,Dan River Steam Station,36.486025,-79.721108,exact,Coal,False
United States,Dan River Steam Station,36.486025,-79.721108,exact,Coal,False
United States,Dan River Steam Station,36.486025,-79.721108,exact,Coal,False
United States,Daniel Generating Plant,30.53265,-88.557111,exact,Coal,False
United States,Daniel Generating Plant,30.53265,-88.557111,exact,Coal,False
United States,Dave Johnston Power Plant,42.839072,-105.777397,exact,Coal,False
United States,Dave Johnston Power Plant,42.839072,-105.777397,exact,Coal,False
United States,Dave Johnston Power Plant,42.839072,-105.777397,exact,Coal,False
United States,Dave Johnston Power Plant,42.839072,-105.777397,exact,Coal,False
United States,Desert Rock,36.765912,-108.189675,approximate,Coal,False
United States,Dolet Hills power station,32.031061,-93.568842,exact,Coal,False
United States,Dry Fork Station,44.387442,-105.461327,exact,Coal,False
United States,Dubuque Generating Station,42.503041,-90.658436,exact,Coal,False
United States,Duck Creek Station,40.466436,-89.983417,exact,Coal,False
United States,Earl F. Wisdom Generating Station,43.1605,-95.257556,exact,Coal,False
United States,Ebensburg Generating Plant,40.473869,-78.702621,exact,Coal,False
United States,Edwards Generation Plant,40.59605,-89.661953,exact,Coal,False
United States,Edwards Generation Plant,40.59605,-89.661953,exact,Coal,False
United States,Edwards Generation Plant,40.59605,-89.661953,exact,Coal,False
United States,Edwardsport generating station (retired),38.797777,-87.251625,exact,Coal,False
United States,Edwardsport generating station (retired),38.797777,-87.251625,exact,Coal,False
United States,Edwardsport power station,38.797506,-87.250488,exact,Coal,False
United States,Edwardsport power station,38.797506,-87.250488,exact,Coal,False
United States,Edwardsport power station,38.797506,-87.250488,exact,Coal,False
United States,Elizabethtown Power Plant,34.647174,-78.641388,exact,Coal,False
United States,Elmer Smith Station,37.794683,-87.060717,exact,Coal,False
United States,Elmer Smith Station,37.794683,-87.060717,exact,Coal,False
United States,Endicott Generating Station,42.0336,-84.7583,exact,Coal,False
United States,Escalante Generating Station,35.415986,-108.082608,exact,Coal,False
United States,Estill County Energy Partners,37.697874,-83.924354,approximate,Coal,False
United States,F. B. Culley power station,37.908961,-87.324717,exact,Coal,False
United States,F. B. Culley power station,37.908961,-87.324717,exact,Coal,False
United States,F. B. Culley power station,37.908961,-87.324717,exact,Coal,False
United States,Fair Station,41.457406,-90.822663,exact,Coal,False
United States,Fayette Power Project,29.916456,-96.750842,exact,Coal,False
United States,Fayette Power Project,29.916456,-96.750842,exact,Coal,False
United States,Fayette Power Project,29.916456,-96.750842,exact,Coal,False
United States,Flint Creek Power Plant,36.256083,-94.523908,exact,Coal,False
United States,Four Corners Steam Plant,36.689369,-108.480339,exact,Coal,False
United States,Four Corners Steam Plant,36.689369,-108.480339,exact,Coal,False
United States,Four Corners Steam Plant,36.689369,-108.480339,exact,Coal,False
United States,Four Corners Steam Plant,36.689369,-108.480339,exact,Coal,False
United States,Four Corners Steam Plant,36.689369,-108.480339,exact,Coal,False
United States,Frank Ratts Generating Station,38.519111,-87.2655,exact,Coal,False
United States,Frank Ratts Generating Station,38.519111,-87.2655,exact,Coal,False
United States,FutureGen power station,39.465556,-88.343346,approximate,Coal,False
United States,Gavin Power Plant,38.935369,-82.115378,exact,Coal,False
United States,Gavin Power Plant,38.935369,-82.115378,exact,Coal,False
United States,Genoa Station,43.559042,-91.2327,exact,Coal,False
United States,George Neal Station North,42.325833,-96.381361,exact,Coal,False
United States,George Neal Station North,42.325833,-96.381361,exact,Coal,False
United States,George Neal Station North,42.325833,-96.381361,exact,Coal,False
United States,George Neal Station South,42.299653,-96.362597,exact,Coal,False
United States,Gerald Gentleman Station,41.080981,-101.14075,exact,Coal,False
United States,Gerald Gentleman Station,41.080981,-101.14075,exact,Coal,False
United States,Gibbons Creek Steam Station,30.61885,-96.081833,exact,Coal,False
United States,Gibson Generating Station,38.371381,-87.768189,exact,Coal,False
